iter	Passed	Remaining
595	5271	3573
596	5280	3564
597	5288	3555
598	5297	3546
599	5305	3537
600	5313	3527
601	5322	3518
602	5330	3509
603	5339	3500
604	5347	3491
605	5356	3482
606	5365	3473
607	5373	3464
608	5381	3455
609	5389	3445
610	5397	3436
611	5407	3428
612	5416	3419
613	5426	3411
614	5434	3402
615	5443	3393
616	5451	3383
617	5460	3375
618	5468	3366
619	5476	3356
620	5485	3347
621	5493	3338
622	5502	3329
623	5511	3320
624	5519	3311
625	5528	3302
626	5535	3293
627	5544	3284
628	5553	3275
629	5562	3266
630	5570	3257
631	5579	3248
632	5587	3239
633	5595	3230
634	5603	3221
635	5612	3212
636	5621	3203
637	5630	3194
638	5638	3185
639	5647	3176
640	5656	3168
641	5664	3158
642	5673	3149
643	5682	3141
644	5690	3132
645	5699	3123
646	5708	3114
647	5716	3105
648	5725	3096
649	5732	3086
650	5741	3077
651	5750	3069
652	5758	3060
653	5767	3051
654	5776	3042
655	5785	3033
656	5793	3024
657	5802	3015
658	5812	3007
659	5820	2998
660	5829	2989
661	5837	2980
662	5846	2971
663	5854	2962
664	5863	2954
665	5872	2944
666	5880	2935
667	5889	2927
668	5897	2917
669	5905	2908
670	5914	2899
671	5922	2890
672	5931	2881
673	5940	2873
674	5950	2864
675	5958	2855
676	5966	2846
677	5973	2837
678	5982	2828
679	5990	2818
680	5998	2809
681	6006	2800
682	6015	2791
683	6024	2783
684	6032	2774
685	6041	2765
686	6049	2756
687	6058	2747
688	6065	2737
689	6074	2728
690	6083	2720
691	6092	2711
692	6101	2702
693	6109	2693
694	6117	2684
695	6127	2676
696	6135	2667
697	6143	2657
698	6151	2649
699	6160	2640
700	6169	2631
701	6177	2622
702	6185	2613
703	6194	2604
704	6203	2595
705	6211	2586
706	6219	2577
707	6227	2568
708	6235	2559
709	6244	2550
710	6253	2541
711	6261	2532
712	6269	2523
713	6278	2514
714	6286	2505
715	6295	2496
716	6304	2488
717	6312	2479
718	6321	2470
719	6330	2461
720	6338	2452
721	6347	2443
722	6354	2434
723	6363	2425
724	6372	2416
725	6380	2408
726	6388	2399
727	6397	2390
728	6405	2381
729	6413	2372
730	6421	2363
731	6429	2354
732	6438	2345
733	6447	2336
734	6455	2327
735	6464	2318
736	6472	2309
737	6481	2301
738	6489	2292
739	6498	2283
740	6507	2274
741	6515	2265
742	6523	2256
743	6532	2247
744	6539	2238
745	6547	2229
746	6555	2220
747	6564	2211
748	6571	2202
749	6580	2193
750	6589	2184
751	6598	2175
752	6605	2166
753	6614	2158
754	6623	2149
755	6631	2140
756	6639	2131
757	6648	2122
758	6656	2113
759	6666	2105
760	6674	2096
761	6683	2087
762	6692	2078
763	6700	2069
764	6709	2060
765	6717	2052
766	6725	2043
767	6733	2034
768	6741	2025
769	6750	2016
770	6759	2007
771	6767	1998
772	6775	1989
773	6784	1980
774	6792	1972
775	6800	1962
776	6808	1954
777	6817	1945
778	6825	1936
779	6834	1927
780	6842	1918
781	6851	1910
782	6859	1901
783	6868	1892
784	6877	1883
785	6884	1874
786	6893	1865
787	6901	1856
788	6910	1848
789	6918	1839
790	6927	1830
791	6936	1821
792	6944	1812
793	6953	1803
794	6961	1795
795	6970	1786
796	6979	1777
797	6987	1768
798	6995	1759
799	7003	1750
800	7011	1741
801	7019	1732
802	7026	1723
803	7035	1715
804	7045	1706
805	7054	1697
806	7062	1688
807	7071	1680
808	7080	1671
809	7090	1663
810	7099	1654
811	7107	1645
812	7116	1636
813	7125	1628
814	7133	1619
815	7143	1610
816	7151	1601
817	7160	1593
818	7168	1584
819	7180	1576
820	7188	1567
821	7196	1558
822	7205	1549
823	7213	1540
824	7221	1531
825	7230	1523
826	7239	1514
827	7247	1505
828	7256	1496
829	7264	1487
830	7272	1478
831	7281	1470
832	7289	1461
833	7298	1452
834	7308	1444
835	7316	1435
836	7324	1426
837	7333	1417
838	7341	1408
839	7349	1399
840	7357	1390
841	7365	1382
842	7373	1373
843	7382	1364
844	7390	1355
845	7399	1346
846	7407	1338
847	7416	1329
848	7425	1320
849	7433	1311
850	7443	1303
851	7451	1294
852	7459	1285
853	7468	1276
854	7476	1267
855	7485	1259
856	7494	1250
857	7503	1241
858	7511	1232
859	7519	1224
860	7527	1215
861	7536	1206
862	7544	1197
863	7552	1188
864	7560	1180
865	7568	1171
866	7577	1162
867	7586	1153
868	7595	1144
869	7603	1136
870	7612	1127
871	7621	1118
872	7630	1110
873	7638	1101
874	7646	1092
875	7655	1083
876	7663	1074
877	7672	1066
878	7680	1057
879	7688	1048
880	7696	1039
881	7704	1030
882	7712	1021
883	7720	1013
884	7728	1004
885	7737	995
886	7746	986
887	7754	978
888	7763	969
889	7772	960
890	7781	951
891	7789	943
892	7798	934
893	7806	925
894	7816	917
895	7824	908
896	7833	899
897	7840	890
898	7850	882
899	7858	873
900	7867	864
901	7875	855
902	7883	846
903	7891	838
904	7900	829
905	7909	820
906	7918	811
907	7926	803
908	7934	794
909	7943	785
910	7952	776
911	7961	768
912	7969	759
913	7978	750
914	7986	741
915	7994	733
916	8003	724
917	8012	715
918	8020	706
919	8028	698
920	8037	689
921	8046	680
922	8054	671
923	8063	663
924	8071	654
925	8079	645
926	8087	636
927	8096	628
928	8104	619
929	8112	610
930	8121	601
931	8130	593
932	8139	584
933	8147	575
934	8156	567
935	8164	558
936	8172	549
937	8180	540
938	8187	531
939	8195	523
940	8204	514
941	8212	505
942	8222	496
943	8231	488
944	8239	479
945	8248	470
946	8257	462
947	8266	453
948	8274	444
949	8283	435
950	8291	427
951	8299	418
952	8307	409
953	8317	401
954	8325	392
955	8334	383
956	8342	374
957	8350	366
958	8359	357
959	8367	348
960	8376	339
961	8385	331
962	8393	322
963	8402	313
964	8411	305
965	8419	296
966	8427	287
967	8435	278
968	8444	270
969	8452	261
970	8461	252
971	8470	243
972	8478	235
973	8486	226
974	8494	217
975	8503	209
976	8512	200
977	8520	191
978	8528	182
979	8538	174
980	8546	165
981	8555	156
982	8563	148
983	8571	139
984	8580	130
985	8588	121
986	8597	113
987	8604	104
988	8614	95
989	8623	87
990	8632	78
991	8641	69
992	8650	60
993	8659	52
994	8667	43
995	8677	34
996	8685	26
997	8693	17
998	8702	8
999	8710	0
